ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
3,6,Z,12.7,9.3,11.1,25,255
3,6,Z,13.8,9.9,12.1,23,278
8,16,Z,28.5,18.1,23.8,12,547
3.6,6,X,14.3,9.9,12.3,23,283
3.6,6,X,15,10.6,13,22,299
2.4,4,X,12.2,7.8,10.2,28,235
3.6,6,Z,13.7,8.7,11.5,25,265
3.6,6,Z,14.3,9.1,12,24,276
3.9,6,X,13.5,8.8,11.4,25,262
3.9,6,E,18.1,11.9,15.3,18,245
4.6,8,Z,15.4,10.3,13.1,22,301
2,4,Z,13,8.3,10.9,26,251
2,4,E,17.3,11.1,14.5,19,232
2,4,Z,11.9,7.4,9.9,29,228
2,4,E,15.7,10.5,13.4,21,214
2.4,4,X,12.2,7.8,10.2,28,235
3,6,X,12.8,8.6,10.9,26,251
3,6,X,14.7,9.1,12.2,23,281
3.6,6,X,12.9,8.2,10.8,26,248
3.6,6,X,14.8,9.1,12.2,23,281
3,6,X,13.4,9,11.4,25,262
3.6,6,X,13.2,8.8,11.2,25,258
3,6,X,12.8,8.6,10.9,26,251
3.6,6,X,13.3,8.9,11.3,25,260
3,6,X,13.4,9,11.4,25,262
3.6,6,X,13.2,8.8,11.2,25,258
6.2,8,Z,19.6,12.6,16.4,17,377
6.2,8,Z,16.6,12.3,14.7,19,338
6.2,8,Z,19.6,12.6,16.4,17,377
6.2,8,Z,16.6,12.3,14.7,19,338
4.6,8,Z,15.4,10.3,13.1,22,301
6.2,8,Z,17,11.9,14.7,19,338
6.2,8,E,23.3,16.1,20.1,14,322
6.2,8,Z,18.8,13.4,16.4,17,377
6.2,8,E,25.7,17.8,22.2,13,355
6,8,X,11.8,10.1,11,26,253
3,6,X,13.3,9.5,11.6,24,267
2.8,6,Z,15.2,10.7,13.2,21,304
3,6,X,13.7,10.4,12.2,23,281
3.6,6,X,12.9,8.2,10.8,26,248
3.6,6,X,13.2,8.8,11.2,25,258
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
1.6,4,X,9.5,7,8.3,34,191
1.6,4,X,8.8,6.8,7.9,36,182
1.6,4,X,9.5,7,8.3,34,191
1.6,4,X,8.8,6.8,7.9,36,182
3.6,6,X,12.7,7.9,10.5,27,242
3.6,6,X,12.9,8.2,10.8,26,248
3.6,6,X,13.9,8.5,11.5,25,265
6.2,8,Z,14.9,9.5,12.5,23,288
6.2,8,Z,14.8,9.7,12.5,23,288
2.9,4,X,12.8,9.6,11.3,25,260
2.9,4,X,12.8,9.3,11.2,25,258
3.7,5,X,14,10.3,12.4,23,285
5.3,8,X,16.1,11.7,14.1,20,324
2.9,4,X,13.5,10.1,12,24,276
2.9,4,X,13.2,9.6,11.6,24,267
3.7,5,X,14.5,10.6,12.7,22,292
5.3,8,X,17,12.2,14.9,19,343
3.7,5,X,15.4,11.8,13.8,20,317
3.7,5,X,14.9,11,13.1,22,301
2.9,4,X,12.8,9.6,11.3,25,260
2.9,4,X,12.9,9.3,11.2,25,258
3.7,5,X,14.2,10.4,12.5,23,288
5.3,8,X,16.1,11.7,14.1,20,324
3.7,5,X,14.9,11,13.1,22,301
5.3,8,X,17,12.2,14.9,19,343
6.2,8,Z,16,9.5,13,22,299
6.2,8,Z,14.5,9.1,12.1,23,278
7,8,Z,16,9.8,13.2,21,304
6.2,8,Z,17.2,12,14.9,19,343
1.4,4,X,9.8,6.6,8.4,34,193
1.8,4,X,10.5,6.7,8.8,32,202
1.8,4,X,9.1,6.5,7.9,36,182
1.4,4,X,9.1,6.2,7.8,36,179
1.4,4,X,8.4,5.6,7.1,40,163
2.4,4,X,10.5,7.3,9.1,31,209
3,6,X,13.9,9.6,12,24,276
3,6,E,18.8,13.1,16.3,17,261
2.4,4,X,11.5,8.2,10,28,230
3,6,X,14.5,10.2,12.5,23,288
3,6,E,19.6,13.8,17,17,272
4.8,8,X,21.1,14.2,18,16,414
4.8,8,E,28.3,19.4,24.3,12,389
6,8,X,21.9,14.9,18.7,15,430
6,8,E,30,20.2,25.6,11,410
6,8,X,22.3,15,19,15,437
6,8,E,30.3,20.4,25.8,11,413
4.3,6,X,15.7,11.8,14,20,322
